::ffff:192.168.55.107 - - [01/Apr/2024:16:00:27 +0000] "DELETE /Mobius2/rtvt-2c6n4etmnk HTTP/1.1" 404 - "-" "-"
::ffff:192.168.55.107 - - [01/Apr/2024:16:00:31 +0000] "POST /Mobius HTTP/1.1" 409 - "-" "-"
::ffff:192.168.55.107 - - [01/Apr/2024:16:00:31 +0000] "GET /Mobius/rtvt-2c6n4etmnk HTTP/1.1" 200 - "-" "-"
::ffff:192.168.55.107 - - [01/Apr/2024:16:00:31 +0000] "GET /Mobius/rosemary-test1/ae_test_1/cnt_test HTTP/1.1" 404 - "-" "-"
::ffff:192.168.55.107 - - [01/Apr/2024:16:01:44 +0000] "GET / HTTP/1.1" 400 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::ffff:192.168.55.107 - - [01/Apr/2024:16:01:44 +0000] "GET /favicon.ico HTTP/1.1" 400 - "http://192.168.55.109:7579/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::ffff:192.168.55.107 - - [01/Apr/2024:16:01:54 +0000] "GET /Mobius HTTP/1.1" 400 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::ffff:192.168.55.107 - - [01/Apr/2024:16:01:54 +0000] "GET /favicon.ico HTTP/1.1" 400 - "http://192.168.55.109:7579/Mobius" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::ffff:192.168.55.107 - - [01/Apr/2024:16:02:03 +0000] "GET /Mobius/rosemary-test1 HTTP/1.1" 400 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::ffff:192.168.55.107 - - [01/Apr/2024:16:02:03 +0000] "GET /favicon.ico HTTP/1.1" 400 - "http://192.168.55.109:7579/Mobius/rosemary-test1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::ffff:192.168.55.107 - - [01/Apr/2024:16:02:08 +0000] "POST /Mobius HTTP/1.1" 409 - "-" "-"
::ffff:192.168.55.107 - - [01/Apr/2024:16:02:08 +0000] "GET /Mobius/rtvt-2c6n4etmnk HTTP/1.1" 200 - "-" "-"
::ffff:192.168.55.107 - - [01/Apr/2024:16:02:08 +0000] "GET /Mobius/rosemary-test1/ae_test_1/cnt_test HTTP/1.1" 404 - "-" "-"
::1 - - [01/Apr/2024:16:04:05 +0000] "GET / HTTP/1.1" 400 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::1 - - [01/Apr/2024:16:04:05 +0000] "GET /favicon.ico HTTP/1.1" 400 - "http://localhost:7579/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
